FECHA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24
30/01/2024;656,4458002;616,4458002;607,7548002;581,4458002;581,4458002;607,7548002;616,4458002;616,4458002;616,4458002;616,4458002;622,4458002;622,4458002;622,4458002;622,4458002;671,4458002;671,4458002;656,4458002;622,4458002;656,4458002;671,4458002;656,4458002;622,4458002;622,4458002;622,4458002
31/01/2024;612,1992591;612,1992591;612,1992591;612,1992591;612,1992591;620,1992591;620,1992591;620,1992591;620,1992591;620,1992591;620,1992591;620,1992591;620,1992591;672,3102591;672,3102591;672,3102591;672,3102591;672,3102591;672,3102591;672,3102591;672,3102591;672,3102591;620,1992591;620,1992591
1/02/2024;698,2899468;691,2899468;691,2899468;691,2899468;691,2899468;698,2899468;680,2899468;691,2899468;691,2899468;691,2899468;691,2899468;691,2899468;691,2899468;698,2899468;698,2899468;698,2899468;699,2899468;698,2899468;699,2899468;699,2899468;699,2899468;698,2899468;691,2899468;691,2899468
2/02/2024;685,434462;680,434462;680,434462;680,434462;680,434462;685,434462;685,434462;695,434462;695,434462;695,434462;695,434462;695,434462;695,434462;695,434462;695,434462;695,434462;695,434462;695,434462;695,434462;695,434462;695,434462;695,434462;691,434462;685,434462
3/02/2024;681,4377742;664,9057742;611,8187742;611,8187742;611,8187742;611,8187742;664,9057742;664,9057742;664,9057742;664,9057742;681,4377742;682,4377742;681,4377742;681,4377742;681,4377742;681,4377742;684,4377742;684,4377742;700,9377742;705,4377742;700,9377742;684,4377742;684,4377742;681,4377742
4/02/2024;642,0606366;642,0606366;642,0606366;641,0606366;598,5166366;598,5166366;471,0606366;441,0606366;598,5166366;598,5166366;473,3066366;641,0606366;641,0606366;642,0606366;642,0606366;642,0606366;642,0606366;642,0606366;678,0606366;678,0606366;678,0606366;678,0606366;678,0606366;642,0606366
5/02/2024;546,7966176;546,7966176;441,4656176;422,4656176;516,4656176;613,4586176;635,4656176;640,4656176;640,4656176;640,4656176;640,4656176;641,9656176;640,4656176;640,4656176;687,4656176;687,4656176;687,4656176;687,4656176;687,4656176;687,4656176;687,4656176;687,4656176;640,4656176;640,4656176
6/02/2024;99,80454906;127,4445491;298,7345491;418,1645491;553,2495491;577,1645491;577,1645491;632,1645491;610,1645491;632,1645491;632,1645491;632,1645491;632,1645491;632,1645491;632,1645491;632,1645491;632,1645491;632,1645491;632,1645491;638,1645491;637,1645491;632,1645491;632,1645491;577,1645491
7/02/2024;552,4520468;551,4520468;533,4520468;494,4520468;533,4520468;552,4520468;551,4520468;565,4580468;580,4520468;580,4520468;580,4520468;518,4520468;518,4520468;580,4520468;580,4520468;580,4520468;580,4520468;580,4520468;580,4520468;580,4520468;580,4520468;580,4520468;551,4520468;533,4520468
8/02/2024;100,6422158;100,6422158;100,6422158;100,6422158;100,6432158;408,7422158;228,0022158;408,7422158;513,0022158;463,0022158;514,0022158;514,0022158;514,0022158;514,0022158;563,0022158;563,0022158;593,0022158;573,0082158;573,0082158;593,0022158;593,0022158;563,0022158;557,0022158;513,0022158
9/02/2024;504,7602944;504,7602944;504,7602944;504,7602944;504,7602944;506,1172944;506,1172944;506,1172944;506,1172944;506,1172944;506,1172944;530,7932944;506,1172944;506,1172944;530,7932944;530,7932944;530,7932944;530,7932944;530,7932944;530,7932944;530,7932944;530,7932944;506,1172944;506,1172944
10/02/2024;535,5310557;510,9630557;510,9630557;510,9630557;510,9630557;510,9630557;510,9630557;510,9630557;510,9630557;510,9630557;510,9630557;535,5310557;535,5310557;535,5310557;535,5310557;535,5310557;535,5310557;535,5310557;561,5310557;700,5310557;550,5310557;535,5310557;535,5310557;535,5310557
11/02/2024;547,583745;547,583745;547,583745;547,583745;547,583745;547,583745;523,015745;523,015745;498,583745;523,015745;523,015745;523,015745;531,583745;547,583745;547,583745;547,583745;547,583745;547,583745;564,583745;564,583745;564,583745;564,583745;564,583745;564,583745
12/02/2024;563,0051259;530,0051259;527,0051259;527,0051259;527,0051259;530,0051259;551,0051259;563,0051259;563,0051259;568,4401259;568,4401259;568,4401259;591,0051259;591,0051259;601,0051259;601,0051259;601,0051259;601,0051259;601,0051259;601,0051259;601,0051259;601,0051259;591,0051259;568,4401259
13/02/2024;593,4414902;552,4414902;552,4414902;552,4414902;551,4414902;593,4414902;593,4414902;610,4414902;593,4414902;593,4414902;593,4414902;610,4414902;610,4414902;610,4414902;610,4414902;612,4414902;612,4414902;612,4414902;612,4414902;612,4414902;612,4414902;612,4414902;610,4414902;593,4414902
14/02/2024;533,5334296;533,5334296;533,5334296;533,5334296;533,5334296;595,5334296;596,5334296;596,5334296;596,5334296;596,5334296;596,5334296;615,9894296;615,9894296;615,9894296;615,9894296;615,9894296;671,5334296;615,9894296;615,9894296;671,5334296;671,5334296;615,9894296;596,5334296;565,5334296
15/02/2024;551,6507122;551,6507122;551,6507122;551,6507122;551,6507122;551,6507122;551,6507122;551,6507122;556,6507122;556,6507122;591,6507122;601,6507122;591,6507122;591,6507122;651,6507122;712,6507122;712,6507122;651,6507122;616,6507122;651,6507122;651,6507122;601,6507122;591,6507122;551,6507122
16/02/2024;531,5071457;531,5071457;531,5071457;531,5071457;531,5071457;531,5071457;531,5071457;531,5071457;531,5071457;536,5071457;536,5071457;536,5071457;536,5071457;536,5071457;550,5071457;550,5071457;550,5071457;536,5071457;550,5071457;556,5071457;556,5071457;551,5071457;536,5071457;531,5071457
