bdmem;objID2;fechaIni;fechaFin
CHVG;Sbm15811;1996-12-31 00:00:00.000;NULL
CHVG;Sbm22580;2016-03-10 00:00:00.000;NULL
CHVG;Sbm22581;2016-03-10 00:00:00.000;NULL
CHVG;Sbm23614;2024-01-01 00:00:00.000;NULL
CHVG;Sbm23615;2024-01-01 00:00:00.000;NULL
ADCG;Sbm00066;2008-04-10 00:00:00.000;NULL
ADCG;Sbm15739;2008-04-10 00:00:00.000;NULL
CHCC;Sbm02200;1995-07-20 00:00:00.000;NULL
CDNC;Sbm01840;1995-07-20 00:00:00.000;NULL
CDNC;Sbm01985;2019-12-19 00:00:00.000;NULL
CDNC;Sbm01986;2013-09-19 00:00:00.000;NULL
CDNC;Sbm01989;2013-09-19 00:00:00.000;NULL
CDNC;Sbm02186;2009-02-01 00:00:00.000;NULL
CDNC;Sbm02190;2011-04-16 00:00:00.000;NULL
CDNC;Sbm02191;2009-03-22 00:00:00.000;NULL
CDNC;Sbm02196;2018-06-07 00:00:00.000;NULL
CDNC;Sbm10258;2011-06-11 00:00:00.000;NULL
CDNC;Sbm10272;2011-06-11 00:00:00.000;NULL
CDNC;Sbm10277;2011-06-11 00:00:00.000;NULL
CDNC;Sbm10632;2023-11-16 00:00:00.000;NULL
CDNC;Sbm16477;2023-12-01 00:00:00.000;NULL
CDNC;Sbm16681;2012-10-11 00:00:00.000;2024-01-01 00:00:00.000
CDNC;Sbm16710;2012-10-11 00:00:00.000;2025-01-01 00:00:00.000
CDNC;Sbm17884;2013-04-04 00:00:00.000;NULL
CDNC;Sbm19238;2013-12-19 00:00:00.000;2024-01-01 00:00:00.000
CDNC;Sbm22741;2018-04-05 00:00:00.000;2025-01-01 00:00:00.000
CDNC;Sbm22747;2018-02-22 00:00:00.000;2024-05-01 00:00:00.000
CDNC;Sbm23199;2016-10-01 00:00:00.000;NULL
CDNC;Sbm27540;2019-12-26 00:00:00.000;2024-09-01 00:00:00.000
CDNC;Sbm27551;2019-01-10 00:00:00.000;NULL
CDNC;Sbm28641;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28642;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28643;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28644;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28660;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28661;2021-09-23 00:00:00.000;NULL
CDNC;Sbm28662;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28663;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28664;2019-07-18 00:00:00.000;NULL
